,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
0,1229,81,3578,1578,1472,387,2383,2553,730,1230,2673,129,1079,1271,3521,1847,2922,172,3493,3221
1,3184,978,2055,3482,2900,389,1555,2381,3711,1435,2242,203,1843,3465,2594,2612,1741,1000,1669,1496
2,2898,252,2572,3311,3072,507,2530,1610,2537,1545,2609,731,2094,3464,1893,2954,1837,2986,3360,1971
3,1408,693,1116,1611,3599,630,2360,2874,2648,1965,2293,835,2075,315,756,1826,1763,163,3565,2700
4,2603,2969,2563,1448,2808,472,3207,1726,3029,1120,3209,826,3363,3014,3272,1414,1827,3109,3374,3647
5,1514,87,2098,1787,1793,475,223,1453,3407,2010,3236,3739,1196,2953,109,1438,2813,1973,957,650
6,3314,794,2559,311,1343,1484,2567,8,3161,1540,2286,2344,3473,1053,3595,3021,1853,776,2607,2705
7,2825,2949,2497,2079,2287,470,2433,1573,2637,1536,2194,1349,1284,3450,2338,2942,2400,3781,1997,1964
8,3696,3025,3,1405,2366,346,2208,2081,2944,3417,2633,1560,3777,2373,3783,1492,1740,2595,1549,1737
9,1712,519,2532,1101,3040,2187,2300,3208,2169,3511,2243,1682,3551,2463,2690,2378,3155,3396,3264,2080
10,1601,253,3706,57,3293,420,2462,2048,2472,1232,2172,1252,638,1372,713,1767,1855,1619,3127,1406
11,670,3718,968,1680,1816,628,3079,3017,1399,991,3721,781,3469,2396,1791,3543,1866,2947,3327,3548
12,3337,230,2082,3398,3096,580,2151,1995,2865,2419,2112,2037,2917,1603,1892,1605,2283,2883,0,3105
13,1369,45,2091,2909,2471,592,2467,1617,2903,1432,637,133,2486,3099,1241,1976,3192,2103,635,2963
14,2967,739,1642,205,3038,1485,2562,906,3518,2011,736,2641,2204,2372,2593,3778,1517,2143,1755,1735
15,2500,1799,1999,3319,1386,3349,2552,740,2615,3213,3026,2259,3474,3789,358,3004,1107,832,3291,1285
16,2756,2941,1206,2719,3452,477,2166,2319,2068,3289,317,2880,3012,927,2173,3197,1739,2491,1996,3643
17,34,269,1986,10,2757,1391,2137,2023,2657,3516,2725,3425,1494,1275,2622,821,1761,2305,3249,3547
18,964,3479,26,1707,324,344,2886,2838,2073,2830,226,128,2495,841,1117,2513,1519,857,1331,1287
19,985,987,2509,504,323,425,2281,3358,3009,3175,3214,785,1301,1267,1970,2006,1872,3713,3269,2683
20,1275,2955,1411,306,1165,1957,3091,2427,3183,2707,116,2878,1342,250,2391,1595,2095,2847,2964,1293
21,2853,301,1087,3577,2826,508,2507,3523,1004,1535,2101,1458,2213,1274,3639,1880,1289,119,3283,1084
22,7,769,2575,2649,1135,589,1919,2210,2806,84,2024,846,3047,1723,2175,1822,3133,2928,3271,3470
23,1091,2968,949,255,1403,587,2352,2284,1389,1225,69,1021,2251,2590,1370,1529,2401,3229,2295,2720
24,2313,1256,2498,217,1033,466,1461,864,3037,2013,2129,804,2202,336,3709,2995,1818,2674,3284,2388
25,2785,100,2007,312,1710,347,2611,3573,3445,2012,2807,3423,2395,1670,1895,1446,2314,3653,2004,1963
26,3189,101,2477,2570,1177,348,251,3287,1936,2629,2193,765,3205,1830,271,1322,1783,3694,3278,2671
27,2970,196,973,2636,337,1065,2555,2713,2574,3665,1881,2253,2398,3612,1548,833,2800,131,2416,1623
28,2701,2349,19,294,1696,1281,735,90,2823,3401,3513,3730,2784,2750,742,3169,3387,3784,3512,2973
29,1142,3121,1752,2336,3123,510,2550,2241,1478,1122,2130,3170,3354,2113,2394,2905,1987,3679,2790,1083
30,3580,1260,1413,997,3237,2191,878,898,2605,1522,3552,3225,2779,1811,275,1480,2788,850,2684,3466
31,2723,2960,2876,1510,1884,432,2551,2323,3330,2237,3414,3683,2927,1701,276,1291,2215,165,3212,1199
32,2961,1028,1652,309,3610,429,1464,801,2918,59,3418,2340,665,2053,72,3758,1952,1098,2000,2032
33,3007,3227,1596,1754,3252,423,1805,2514,3292,3151,3201,812,3253,2461,1766,3010,2110,853,3556,646
34,3620,1089,2688,3285,1368,3345,1691,916,727,1673,194,806,2915,3631,2619,1500,2109,2385,2116,3772
35,976,137,6,308,2174,582,2412,3116,681,2125,3243,2256,2380,3621,1323,1945,3388,1124,1295,1404
36,2866,1086,639,2945,1856,575,2601,2405,925,1523,931,1562,2290,2557,712,1576,2822,3046,3288,3260
37,2407,795,1401,86,1367,543,2149,573,1602,2122,1849,1687,3787,3764,1329,1749,2482,2224,3061,2816
38,365,824,2528,2751,1180,469,274,1616,2134,1658,3644,134,3296,3549,54,2617,3567,2975,2524,1989
39,3148,555,668,82,3459,413,3106,2678,1164,1335,2399,1014,2493,933,403,1586,1867,1608,2284,2197
40,3495,914,951,1706,3442,623,872,2326,2159,3276,2868,2345,3195,2272,3718,1424,1982,2490,3053,1607
41,2905,2748,2289,2616,3100,548,3107,2285,3328,2518,3108,3603,2223,2276,2724,1729,3173,3050,3263,2093
42,2299,842,1264,692,1497,620,2454,2851,2106,2831,3590,3162,3677,3101,1010,2074,3088,2104,3404,1991
43,3167,2438,667,1388,1056,468,2741,2205,720,1525,3652,2140,3371,1699,1988,3189,1105,2844,1630,2199
44,1824,450,950,3408,2066,381,1363,3760,3020,2029,3571,202,1306,1046,735,2062,1900,118,3491,645
45,874,3498,3199,2069,331,3353,2268,2221,2747,1790,3642,1684,1512,3443,2304,2267,1762,1102,1995,725
46,3013,2794,1891,1416,2070,490,2660,2446,1622,1443,3124,150,1402,3501,1387,2225,3433,1459,2405,1081
47,2815,1195,1270,1239,3138,350,2312,2238,2958,2519,3228,121,2212,3624,50,2966,1852,1730,2326,1966
48,2359,1791,13,3239,1580,3347,910,263,945,3666,1842,216,2542,1470,3779,1075,3062,3421,3251,3370
49,1035,197,2930,2119,2760,406,2044,2849,3485,3503,2644,1149,2217,3011,2702,1042,1436,3695,3411,1344
50,2858,502,2938,2132,2870,551,302,494,1220,2795,2436,126,2475,1376,437,3018,2576,3569,1860,2841
51,948,1452,1507,2327,1538,1061,2444,2018,2163,2126,2777,775,2078,1499,3294,2970,3057,3303,2018,3785
52,1650,881,3193,1864,2466,1277,2895,3372,2266,1667,3242,2733,664,3097,2123,983,1871,1208,3598,3475
53,1320,516,2228,2133,1638,476,2413,232,76,2579,2924,1352,1070,1792,2703,2756,3542,2145,3277,1193
54,130,1292,706,2713,641,427,241,905,2749,2231,1288,791,3248,1176,517,3393,3661,3245,1640,3786
55,1075,183,666,98,1933,372,1925,2229,1250,2429,3534,142,2288,774,2586,3007,1876,2440,1653,1974
56,2762,1455,1641,287,947,2769,3036,3672,3018,16,3471,2731,2485,3330,2334,2226,1946,2613,3688,3649
57,1341,2173,2712,3788,1162,1066,2894,21,2606,1314,1491,124,2506,3039,2240,1824,83,2147,3690,1734
58,1241,2984,1450,1554,3536,625,2573,3359,1166,1337,1901,144,1040,1173,2560,2723,3726,279,3250,634
59,3385,969,673,3437,1017,618,1803,632,2661,3663,3626,802,1286,1935,1345,2815,2504,1679,1303,633
60,2929,1548,1328,1777,1985,3219,231,3405,3412,3664,2531,3119,1745,3095,3204,2602,1214,3056,3689,3782
61,3004,2933,1307,179,1950,577,1690,2432,2675,2121,1237,141,737,871,404,1862,1211,1204,2017,3367
62,953,894,2591,297,1380,1955,2050,3618,890,1639,3355,780,3678,2278,1128,2701,3472,3655,3705,3645
63,2548,1571,233,1594,860,584,903,3053,1100,2459,718,838,3771,1832,401,3230,1093,3519,2220,1836
64,975,979,964,3719,3341,1959,2115,2737,3341,2630,1859,2801,2989,2901,62,2548,1993,1882,3282,3415
65,3137,2972,1099,3280,2992,2580,2262,2810,3438,1433,1616,210,2233,3107,296,2346,2096,3749,3287,3358
66,3632,917,653,3044,2747,410,2282,1416,2908,37,2330,1016,3550,1027,2621,3013,2998,2843,3262,1068
67,1609,2534,3592,1537,3317,2773,2888,281,3757,1539,3648,771,2783,878,1129,167,1930,603,2005,2211
68,2403,868,2244,922,1939,2768,2455,2150,3538,2578,1784,3224,819,1582,1746,1393,1877,3563,3256,2089
69,2646,691,1643,1908,1831,541,2265,880,2814,1332,3570,125,1077,2165,3362,1551,3066,2962,2009,1188
70,161,1785,3490,1583,988,2183,2310,3572,1950,2711,1834,3166,1633,998,439,2313,1423,1419,2789,2677
71,1500,417,2272,2592,941,488,243,2392,3022,3675,3574,1686,2211,2473,669,976,2793,2209,3375,1407
72,270,2994,1184,237,1909,520,904,2763,1189,2324,267,854,3190,1836,2320,2967,1878,2638,1626,2640
73,3140,690,2510,97,2906,341,254,78,2356,3060,1904,1348,4,1820,2131,1804,3389,1863,20,3297
74,3010,2744,1316,2786,3052,3244,3233,222,1606,1441,2164,1247,3553,322,1126,2971,2812,3774,2,3015
75,3753,2709,887,284,3083,382,876,3288,3763,3585,3467,2540,939,2263,3157,2825,1518,1988,728,2850
76,928,845,14,66,2820,1488,2457,3154,1813,2234,3156,843,2393,3539,2441,1219,3698,966,2323,679
77,326,1655,1297,307,1356,606,2458,959,3413,1544,3680,787,3488,937,723,1530,1972,2689,3575,3481
78,2692,484,1111,1088,2896,474,263,1901,2387,2704,1157,188,3419,1050,3142,2299,3566,1374,2860,1841
79,2160,293,3507,117,1941,343,239,2352,1948,1886,2885,1797,858,3483,727,974,2782,663,1774,2088
80,2033,2677,1092,388,717,431,3539,2416,2417,3714,3773,852,2679,1698,3635,3200,3076,2362,2230,1721
81,2889,558,2837,113,2008,435,891,707,1136,3712,3776,3163,2494,1389,2335,2414,1019,2686,3281,1727
82,2062,357,1333,1044,2371,2184,2666,957,2155,1889,719,848,2916,3378,2926,3696,1238,3729,2322,1614
83,2639,33,956,2581,3564,383,289,1722,1570,1431,30,3220,1141,1974,300,2999,1764,642,3193,3550
84,1395,3500,3685,851,2474,456,1258,2397,702,1903,3766,3164,3720,910,1113,1430,2834,2923,12,3468
85,983,3181,890,1845,1100,585,869,2910,3627,711,2761,192,723,3634,1045,174,2717,3623,3265,1726
86,1300,2247,2515,361,885,2772,2277,2684,1704,2714,3554,2543,2869,1599,3585,2374,3487,2328,3267,3364
87,3259,99,1744,757,1929,583,2114,3143,2117,1129,2729,2598,3384,2669,248,3775,3027,1330,2623,2792
88,1311,439,1169,2118,3695,1063,260,588,2758,2022,2920,3431,3356,1735,45,2085,3357,3631,3494,649
89,2930,1119,2461,805,2168,1489,265,2118,3591,1334,3448,1798,2564,3767,2925,2339,1527,1409,3579,3784
90,3703,288,32,1192,1825,355,2680,3451,3762,321,1467,2539,2695,3729,596,2976,1203,2107,2221,2587
91,2831,1713,933,2207,661,378,2389,2196,1263,1296,3234,855,1240,2181,1439,3202,2296,3258,3669,1949
92,2942,396,1132,1295,2061,342,2549,2770,3340,2861,3722,173,3545,861,944,2646,1865,2039,2308,1981
93,2111,277,1412,689,3641,1961,3322,113,1580,3145,1392,2600,2090,1080,3628,22,3568,1624,1233,3480
94,1216,2342,2499,994,3757,460,2561,3613,2663,3584,1429,3078,3535,1163,377,1449,3701,3752,2818,2926
95,1042,709,938,303,3455,1495,884,3616,3724,2426,2588,2451,2435,2250,2672,1409,2232,1720,1420,2244
96,1218,1221,3722,29,2996,3526,895,1553,3619,1327,3048,2544,2952,3541,2827,800,3717,1676,1001,1632
97,2443,454,971,597,159,512,2585,2227,1138,38,743,3081,3366,3343,3769,34,3149,2893,3266,3245
98,305,724,1661,2076,1915,586,3227,1351,2469,2979,1967,3682,3131,647,597,811,1944,2935,3633,2402
99,1371,515,2817,1221,926,1279,221,1254,3541,3143,3583,153,1675,3035,111,975,1631,560,3589,1902
